Election.Year,swing,Lab,SNP,MPN,Constituency.Name,Press.Association.ID.Number,Constituency.ID,Electorate,UKIP,Other,Status,Region,Turnout,Con,win,LD,Green,DUP,UUP,SF
2017,6.67,22662,11320,Stephen Kinnock,Aberavon,1,W07000049,49891,1345,2761,hold,Wales,33268,5901,lab,599,NA,NA,NA,NA
2017,-5.64,13702,NA,Guto Bebb,Aberconwy,2,W07000058,45251,NA,3170,hold,Wales,32150,14337,con,941,NA,NA,NA,NA
2017,-9.61,11031,15170,Kirsty Blackman,"Aberdeen, North",3,S14000001,62130,NA,522,hold,Scotland,36757,8341,snp,1693,NA,NA,NA,NA
2017,14.75,9143,13994,Ross Thomson,"Aberdeen, South",4,S14000002,64964,NA,0,gain,Scotland,44483,18746,con,2600,NA,NA,NA,NA
2017,14.07,5706,16754,Andrew Bowie,"Aberdeenshire, West & Kincardine",5,S14000058,72477,NA,0,gain,Scotland,51625,24704,con,4461,NA,NA,NA,NA
2017,-9.66,14096,14291,Neil Gray,Airdrie & Shotts,6,S14000003,64146,NA,0,hold,Scotland,38002,8813,snp,802,NA,NA,NA,NA
2017,-4.41,15477,NA,Leo Docherty,Aldershot,7,E14000530,76205,1796,0,hold,South East,48955,26955,con,3637,1090,NA,NA,NA
2017,2.94,12010,NA,Wendy Morton,Aldridge-Brownhills,8,E14000531,60363,NA,565,hold,West Midlands,40235,26317,con,1343,NA,NA,NA,NA
2017,-7.07,20507,NA,Graham Brady,Altrincham & Sale West,9,E14000532,73220,NA,299,hold,North West,52790,26933,con,4051,1000,NA,NA,NA
2017,1.8,23315,NA,Mark Tami,Alyn & Deeside,10,W07000043,63041,1117,1171,hold,Wales,44760,18080,lab,1077,NA,NA,NA,NA
2017,4.46,17605,NA,Nigel Mills,Amber Valley,11,E14000533,68065,NA,551,hold,East Midlands,45811,25905,con,1100,650,NA,NA,NA
2017,15.91,5233,15503,Kirstene Hair,Angus,12,S14000004,63840,NA,0,gain,Scotland,40192,18148,con,1308,NA,NA,NA,NA
2017,10.3,NA,NA,Sammy Wilson,"Antrim, East",13,N06000005,62908,NA,7228,hold,Northern Ireland,38143,963,dup,NA,NA,21873,4524,3555
2017,5.83,NA,NA,Ian Paisley,"Antrim, North",14,N06000012,75657,NA,5297,hold,Northern Ireland,48460,NA,dup,NA,NA,28521,3482,7878
2017,5.01,NA,NA,Paul Girvan,"Antrim, South",15,N06000014,68244,NA,5565,gain,Northern Ireland,43170,NA,dup,NA,NA,16508,13300,7797
2017,-6.67,11427,NA,Hywel Williams,Arfon,16,W07000057,41367,NA,11519,hold,Wales,28208,4614,plc,648,NA,NA,NA,NA
2017,-13.29,6044,17304,Brendan O'Hara,Argyll & Bute,17,S14000005,67230,NA,0,hold,Scotland,48069,15976,snp,8745,NA,NA,NA,NA
2017,-4.98,13690,NA,Nick Herbert,Arundel & South Downs,18,E14000534,80766,1668,0,hold,South East,60256,37573,con,4783,2542,NA,NA,NA
2017,-8.86,21285,NA,Gloria De Piero,Ashfield,19,E14000535,78099,1885,4612,hold,East Midlands,49993,20844,lab,969,398,NA,NA,NA
2017,-2.41,17840,NA,Damian Green,Ashford,20,E14000536,87396,2218,0,hold,South East,59879,35318,con,3101,1402,NA,NA,NA
2017,0.38,24005,NA,Angela Rayner,Ashton-under-Lyne,21,E14000537,67674,1878,0,hold,North West,39773,12710,lab,646,534,NA,NA,NA
2017,-5.26,17617,NA,David Lidington,Aylesbury,22,E14000538,82546,1296,620,hold,South East,58743,32313,con,5660,1237,NA,NA,NA
2017,17.5,11024,15776,Bill Grant,"Ayr, Carrick & Cumnock",23,S14000006,71241,NA,0,gain,Scotland,46222,18550,con,872,NA,NA,NA,NA
2017,-16.51,11762,16771,Philippa Whitford,"Ayrshire, Central",24,S14000010,68997,NA,0,hold,Scotland,45087,15504,snp,1050,NA,NA,NA,NA
2017,-15.36,13040,18451,Patricia Gibson,"Ayrshire, North & Arran",25,S14000048,73174,NA,0,hold,Scotland,47433,14818,snp,1124,NA,NA,NA,NA
2017,-5.79,20989,NA,Victoria Prentis,Banbury,26,E14000539,83818,1581,927,hold,South East,61562,33388,con,3452,1225,NA,NA,NA
2017,20.15,3936,16283,David Duguid,Banff & Buchan,27,S14000007,67601,NA,0,gain,Scotland,41643,19976,con,1448,NA,NA,NA,NA
2017,1.97,32319,NA,Margaret Hodge,Barking,28,E14000540,77020,3031,295,hold,London,47679,10711,lab,599,724,NA,NA,NA
2017,-0.48,24982,NA,Dan Jarvis,"Barnsley, Central",29,E14000541,64204,3339,211,hold,Yorkshire And The Humber,39089,9436,lab,549,572,NA,NA,NA
2017,-3.78,24280,NA,Stephanie Peacock,"Barnsley, East",30,E14000542,69204,3247,287,hold,Yorkshire And The Humber,40776,10997,lab,750,NA,NA,NA,NA
2017,-0.7,22592,NA,John Woodcock,Barrow & Furness,31,E14000543,69474,962,0,hold,North West,47590,22383,lab,1278,375,NA,NA,NA
2017,0.41,13981,NA,John Baron,Basildon & Billericay,32,E14000544,69149,2008,0,hold,East Of England,44918,27381,con,1548,NA,NA,NA,NA
2017,3.1,15321,NA,Stephen Metcalfe,"Basildon, South & Thurrock East",33,E14000933,73541,3193,383,hold,East Of England,47120,26811,con,732,680,NA,NA,NA
2017,-1.96,20044,NA,Maria Miller,Basingstoke,34,E14000545,81873,1681,213,hold,South East,55960,29510,con,3406,1106,NA,NA,NA
2017,-4.33,27467,NA,John Mann,Bassetlaw,35,E14000546,78535,NA,1014,hold,East Midlands,52250,22615,lab,1154,NA,NA,NA,NA
2017,9.81,7279,NA,Wera Hobhouse,Bath,36,E14000547,66769,NA,0,gain,South West,49582,17742,lib,23436,1125,NA,NA,NA
2017,-2.33,29844,NA,Tracy Brabin,Batley & Spen,37,E14000548,80153,NA,1076,hold,Yorkshire And The Humber,53780,20883,lab,1224,695,NA,NA,NA
2017,9.97,25292,NA,Marsha De Cordova,Battersea,38,E14000549,77572,357,1266,gain,London,55058,22876,lab,4401,866,NA,NA,NA
2017,-4.01,12016,NA,Dominic Grieve,Beaconsfield,39,E14000550,77534,1609,0,hold,South East,56028,36559,con,4448,1396,NA,NA,NA
2017,-4.31,15545,NA,Bob Stewart,Beckenham,40,E14000551,67928,NA,0,hold,London,51630,30632,con,4073,1380,NA,NA,NA
2017,2,22712,NA,Mohammad Yasin,Bedford,41,E14000552,71829,NA,0,gain,East Of England,48480,21923,lab,2837,1008,NA,NA,NA
2017,-3.47,17953,NA,Nadine Dorries,"Bedfordshire, Mid",42,E14000813,83800,NA,667,hold,East Of England,63148,38936,con,3798,1794,NA,NA,NA
2017,-5.61,18277,NA,Alistair Burt,"Bedfordshire, North East",43,E14000841,86988,1896,0,hold,East Of England,64220,39139,con,3693,1215,NA,NA,NA
2017,-4.63,18793,NA,Andrew Selous,"Bedfordshire, South West",44,E14000949,79670,NA,301,hold,East Of England,55635,32961,con,2630,950,NA,NA,NA
2017,6.61,NA,NA,Gavin Robinson,"Belfast, East",45,N06000001,63495,NA,15664,hold,Northern Ireland,42890,446,dup,NA,561,23917,1408,894
2017,-4.3,NA,NA,Nigel Dodds,"Belfast, North",46,N06000002,68249,NA,2418,hold,Northern Ireland,45936,NA,dup,NA,644,21240,NA,19159
2017,3.45,NA,NA,Emma Little Pengelly,"Belfast, South",47,N06000003,66105,NA,19249,gain,Northern Ireland,43705,246,dup,NA,2241,13299,1527,7143
2017,3.45,NA,NA,Paul Maskey,"Belfast, West",48,N06000004,62423,NA,3208,hold,Northern Ireland,40633,NA,snf,NA,NA,5455,NA,27107
2017,6.72,31161,NA,Neil Coyle,Bermondsey & Old Southwark,49,E14000553,87227,838,113,hold,London,58521,7581,lab,18189,639,NA,NA,NA
2017,0.89,10364,NA,Anne-Marie Trevelyan,Berwick-upon-Tweed,50,E14000554,58774,NA,0,hold,North East,42212,22145,con,8916,787,NA,NA,NA
2017,10.86,4519,17153,John Lamont,"Berwickshire, Roxburgh & Selkirk",51,S14000008,73191,NA,0,gain,Scotland,52367,28213,con,2482,NA,NA,NA,NA
2017,6.61,42969,NA,Rushanara Ali,Bethnal Green & Bow,52,E14000555,86071,894,3888,hold,London,59825,7576,lab,2982,1516,NA,NA,NA
2017,1.03,18457,NA,Graham Stuart,Beverley & Holderness,53,E14000556,80657,NA,1158,hold,Yorkshire And The Humber,55678,32499,con,2808,756,NA,NA,NA
2017,-1.69,14689,NA,Huw Merriman,Bexhill & Battle,54,E14000557,78512,2006,0,hold,South East,59472,36854,con,4485,1438,NA,NA,NA
2017,-0.48,16040,NA,David Evennett,Bexleyheath & Crayford,55,E14000558,65315,1944,290,hold,London,45189,25113,con,1201,601,NA,NA,NA
2017,1.81,33558,NA,Frank Field,Birkenhead,56,E14000559,64484,NA,0,hold,North West,43663,8044,lab,1118,943,NA,NA,NA
2017,-4.65,24124,NA,Preet Gill,Birmingham Edgbaston,57,E14000560,68091,NA,155,hold,West Midlands,43612,17207,lab,1564,562,NA,NA,NA
2017,2.39,21571,NA,Jack Dromey,Birmingham Erdington,58,E14000561,65067,NA,0,hold,West Midlands,37217,14286,lab,750,610,NA,NA,NA
2017,10.19,42143,NA,Roger Godsiff,Birmingham Hall Green,59,E14000562,78271,NA,0,hold,West Midlands,54310,8199,lab,3137,831,NA,NA,NA
