Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CD9,NO2,01/01/2017 00:00,69.90000,ug m-3,R
CD9,NO2,02/01/2017 00:00,57.50000,ug m-3,R
CD9,NO2,03/01/2017 00:00,91.90000,ug m-3,R
CD9,NO2,04/01/2017 00:00,67.90000,ug m-3,R
CD9,NO2,05/01/2017 00:00,108.70000,ug m-3,R
CD9,NO2,06/01/2017 00:00,145.00000,ug m-3,R
CD9,NO2,07/01/2017 00:00,78.00000,ug m-3,R
CD9,NO2,08/01/2017 00:00,92.60000,ug m-3,R
CD9,NO2,09/01/2017 00:00,101.20000,ug m-3,R
CD9,NO2,10/01/2017 00:00,90.00000,ug m-3,R
CD9,NO2,11/01/2017 00:00,69.50000,ug m-3,R
CD9,NO2,12/01/2017 00:00,90.90000,ug m-3,R
CD9,NO2,13/01/2017 00:00,51.90000,ug m-3,R
CD9,NO2,14/01/2017 00:00,75.10000,ug m-3,R
CD9,NO2,15/01/2017 00:00,74.00000,ug m-3,R
CD9,NO2,16/01/2017 00:00,118.70000,ug m-3,R
CD9,NO2,17/01/2017 00:00,136.70000,ug m-3,R
CD9,NO2,18/01/2017 00:00,167.00000,ug m-3,R
CD9,NO2,19/01/2017 00:00,146.70000,ug m-3,R
CD9,NO2,20/01/2017 00:00,140.39999,ug m-3,R
CD9,NO2,21/01/2017 00:00,128.80000,ug m-3,R
CD9,NO2,22/01/2017 00:00,153.30000,ug m-3,R
CD9,NO2,23/01/2017 00:00,166.30000,ug m-3,R
CD9,NO2,24/01/2017 00:00,161.60001,ug m-3,R
CD9,NO2,25/01/2017 00:00,155.39999,ug m-3,R
CD9,NO2,26/01/2017 00:00,111.20000,ug m-3,R
CD9,NO2,27/01/2017 00:00,119.80000,ug m-3,R
CD9,NO2,28/01/2017 00:00,113.50000,ug m-3,R
CD9,NO2,29/01/2017 00:00,106.20000,ug m-3,R
CD9,NO2,30/01/2017 00:00,92.80000,ug m-3,R
CD9,NO2,31/01/2017 00:00,99.00000,ug m-3,R
CD9,NO2,01/02/2017 00:00,112.20000,ug m-3,R
CD9,NO2,02/02/2017 00:00,88.10000,ug m-3,R
CD9,NO2,03/02/2017 00:00,103.60000,ug m-3,R
CD9,NO2,04/02/2017 00:00,135.30000,ug m-3,R
CD9,NO2,05/02/2017 00:00,82.90000,ug m-3,R
CD9,NO2,06/02/2017 00:00,109.80000,ug m-3,R
CD9,NO2,07/02/2017 00:00,104.00000,ug m-3,R
CD9,NO2,08/02/2017 00:00,90.20000,ug m-3,R
CD9,NO2,09/02/2017 00:00,108.10000,ug m-3,R
CD9,NO2,10/02/2017 00:00,86.90000,ug m-3,R
CD9,NO2,11/02/2017 00:00,69.90000,ug m-3,R
CD9,NO2,12/02/2017 00:00,76.00000,ug m-3,R
CD9,NO2,13/02/2017 00:00,71.80000,ug m-3,R
CD9,NO2,14/02/2017 00:00,94.50000,ug m-3,R
CD9,NO2,15/02/2017 00:00,105.40000,ug m-3,R
CD9,NO2,16/02/2017 00:00,108.40000,ug m-3,R
CD9,NO2,17/02/2017 00:00,108.80000,ug m-3,R
CD9,NO2,18/02/2017 00:00,107.10000,ug m-3,R
CD9,NO2,19/02/2017 00:00,88.70000,ug m-3,R
CD9,NO2,20/02/2017 00:00,73.70000,ug m-3,R
CD9,NO2,21/02/2017 00:00,77.70000,ug m-3,R
CD9,NO2,22/02/2017 00:00,77.80000,ug m-3,R
CD9,NO2,23/02/2017 00:00,49.50000,ug m-3,R
CD9,NO2,24/02/2017 00:00,77.10000,ug m-3,R
CD9,NO2,25/02/2017 00:00,87.20000,ug m-3,R
CD9,NO2,26/02/2017 00:00,70.60000,ug m-3,R
CD9,NO2,27/02/2017 00:00,92.10000,ug m-3,R
CD9,NO2,28/02/2017 00:00,81.90000,ug m-3,R
CD9,NO2,01/03/2017 00:00,106.00000,ug m-3,R
CD9,NO2,02/03/2017 00:00,91.60000,ug m-3,R
CD9,NO2,03/03/2017 00:00,99.10000,ug m-3,R
CD9,NO2,04/03/2017 00:00,97.70000,ug m-3,R
CD9,NO2,05/03/2017 00:00,70.20000,ug m-3,R
CD9,NO2,06/03/2017 00:00,65.40000,ug m-3,R
CD9,NO2,07/03/2017 00:00,88.70000,ug m-3,R
CD9,NO2,08/03/2017 00:00,100.10000,ug m-3,R
CD9,NO2,09/03/2017 00:00,81.50000,ug m-3,R
CD9,NO2,10/03/2017 00:00,120.30000,ug m-3,R
CD9,NO2,11/03/2017 00:00,110.60000,ug m-3,R
CD9,NO2,12/03/2017 00:00,80.30000,ug m-3,R
CD9,NO2,13/03/2017 00:00,68.30000,ug m-3,R
CD9,NO2,14/03/2017 00:00,86.60000,ug m-3,R
CD9,NO2,15/03/2017 00:00,108.20000,ug m-3,R
CD9,NO2,16/03/2017 00:00,96.50000,ug m-3,R
CD9,NO2,17/03/2017 00:00,75.80000,ug m-3,R
CD9,NO2,18/03/2017 00:00,63.30000,ug m-3,R
CD9,NO2,19/03/2017 00:00,59.00000,ug m-3,R
CD9,NO2,20/03/2017 00:00,87.70000,ug m-3,R
CD9,NO2,21/03/2017 00:00,83.40000,ug m-3,R
CD9,NO2,22/03/2017 00:00,94.00000,ug m-3,R
CD9,NO2,23/03/2017 00:00,91.80000,ug m-3,R
CD9,NO2,24/03/2017 00:00,84.30000,ug m-3,R
CD9,NO2,25/03/2017 00:00,89.20000,ug m-3,R
CD9,NO2,26/03/2017 00:00,70.70000,ug m-3,R
CD9,NO2,27/03/2017 00:00,87.20000,ug m-3,R
CD9,NO2,28/03/2017 00:00,100.50000,ug m-3,R
CD9,NO2,29/03/2017 00:00,105.00000,ug m-3,R
CD9,NO2,30/03/2017 00:00,125.20000,ug m-3,R
CD9,NO2,31/03/2017 00:00,124.20000,ug m-3,R
CD9,NO2,01/04/2017 00:00,105.10000,ug m-3,R
CD9,NO2,02/04/2017 00:00,55.70000,ug m-3,R
CD9,NO2,03/04/2017 00:00,115.10000,ug m-3,R
CD9,NO2,04/04/2017 00:00,63.50000,ug m-3,R
CD9,NO2,05/04/2017 00:00,45.60000,ug m-3,R
CD9,NO2,06/04/2017 00:00,86.70000,ug m-3,R
CD9,NO2,07/04/2017 00:00,85.50000,ug m-3,R
CD9,NO2,08/04/2017 00:00,136.10001,ug m-3,R
CD9,NO2,09/04/2017 00:00,94.80000,ug m-3,R
CD9,NO2,10/04/2017 00:00,33.70000,ug m-3,R
CD9,NO2,11/04/2017 00:00,62.20000,ug m-3,R
CD9,NO2,12/04/2017 00:00,59.40000,ug m-3,R
CD9,NO2,13/04/2017 00:00,47.40000,ug m-3,R
CD9,NO2,14/04/2017 00:00,69.10000,ug m-3,R
CD9,NO2,15/04/2017 00:00,29.00000,ug m-3,R
CD9,NO2,16/04/2017 00:00,39.70000,ug m-3,R
CD9,NO2,17/04/2017 00:00,53.30000,ug m-3,R
CD9,NO2,18/04/2017 00:00,68.70000,ug m-3,R
CD9,NO2,19/04/2017 00:00,112.40000,ug m-3,R
CD9,NO2,20/04/2017 00:00,97.10000,ug m-3,R
CD9,NO2,21/04/2017 00:00,59.70000,ug m-3,R
CD9,NO2,22/04/2017 00:00,63.90000,ug m-3,R
CD9,NO2,23/04/2017 00:00,70.30000,ug m-3,R
CD9,NO2,24/04/2017 00:00,66.60000,ug m-3,R
CD9,NO2,25/04/2017 00:00,41.90000,ug m-3,R
CD9,NO2,26/04/2017 00:00,60.60000,ug m-3,R
CD9,NO2,27/04/2017 00:00,79.20000,ug m-3,R
CD9,NO2,28/04/2017 00:00,68.60000,ug m-3,R
CD9,NO2,29/04/2017 00:00,104.80000,ug m-3,R
CD9,NO2,30/04/2017 00:00,66.10000,ug m-3,R
CD9,NO2,01/05/2017 00:00,69.10000,ug m-3,R
CD9,NO2,02/05/2017 00:00,78.10000,ug m-3,R
CD9,NO2,03/05/2017 00:00,71.20000,ug m-3,R
CD9,NO2,04/05/2017 00:00,86.20000,ug m-3,R
CD9,NO2,05/05/2017 00:00,86.20000,ug m-3,R
CD9,NO2,06/05/2017 00:00,65.00000,ug m-3,R
CD9,NO2,07/05/2017 00:00,44.60000,ug m-3,R
CD9,NO2,08/05/2017 00:00,59.20000,ug m-3,R
CD9,NO2,09/05/2017 00:00,84.40000,ug m-3,R
