lad2014_code,lad2014_name,country,population_2001,births_2002,deaths_2002,natchange_2002,internal_in_2002,internal_out_2002,internal_net_2002,international_in_2002,international_out_2002,international_net_2002,other_change_2002,population_2002,births_2003,deaths_2003,natchange_2003,internal_in_2003,internal_out_2003,internal_net_2003,international_in_2003,international_out_2003,international_net_2003,other_change_2003,population_2003,births_2004,deaths_2004,natchange_2004,internal_in_2004,internal_out_2004,internal_net_2004,international_in_2004,international_out_2004,international_net_2004,other_change_2004,population_2004,births_2005,deaths_2005,natchange_2005,internal_in_2005,internal_out_2005,internal_net_2005,international_in_2005,international_out_2005,international_net_2005,other_change_2005,population_2005,births_2006,deaths_2006,natchange_2006,internal_in_2006,internal_out_2006,internal_net_2006,international_in_2006,international_out_2006,international_net_2006,other_change_2006,population_2006,births_2007,deaths_2007,natchange_2007,internal_in_2007,internal_out_2007,internal_net_2007,international_in_2007,international_out_2007,international_net_2007,other_change_2007,population_2007,births_2008,deaths_2008,natchange_2008,internal_in_2008,internal_out_2008,internal_net_2008,international_in_2008,international_out_2008,international_net_2008,other_change_2008,population_2008,births_2009,deaths_2009,natchange_2009,internal_in_2009,internal_out_2009,internal_net_2009,international_in_2009,international_out_2009,international_net_2009,other_change_2009,population_2009,births_2010,deaths_2010,natchange_2010,internal_in_2010,internal_out_2010,internal_net_2010,international_in_2010,international_out_2010,international_net_2010,other_change_2010,population_2010,births_2011,deaths_2011,natchange_2011,internal_in_2011,internal_out_2011,internal_net_2011,international_in_2011,international_out_2011,international_net_2011,other_change_2011,population_2011,births_2012,deaths_2012,natchange_2012,internal_in_2012,internal_out_2012,internal_net_2012,international_in_2012,international_out_2012,international_net_2012,other_change_2012,population_2012,births_2013,deaths_2013,natchange_2013,internal_in_2013,internal_out_2013,internal_net_2013,international_in_2013,international_out_2013,international_net_2013,other_change_2013,population_2013,births_2014,deaths_2014,natchange_2014,internal_in_2014,internal_out_2014,internal_net_2014,international_in_2014,international_out_2014,international_net_2014,other_change_2014,population_2014,births_2015,deaths_2015,natchange_2015,internal_in_2015,internal_out_2015,internal_net_2015,international_in_2015,international_out_2015,international_net_2015,other_change_2015,population_2015
E06000001,Hartlepool,E,90152,1017,1042,-25,2140,2301,-161,156,190,-34,61,89993,1022,1016,6,2252,2093,159,163,241,-78,54,90134,1077,998,79,2164,2080,84,152,174,-22,42,90317,1085,1079,6,2107,2096,11,168,106,62,61,90457,1181,998,183,2046,2017,29,249,171,78,34,90781,1128,1021,107,2268,2299,-31,172,86,86,26,90969,1199,978,221,2067,2023,44,224,118,106,39,91379,1133,922,211,1980,2136,-156,179,113,66,30,91530,1172,901,271,2025,2122,-97,173,124,49,20,91773,1187,936,251,2040,2065,-25,259,160,99,-10,92088,1146,903,243,2058,2119,-61,165,203,-38,6,92238,1083,911,172,2312,2220,92,269,126,143,20,92665,1069,883,186,2162,2457,-295,195,166,29,5,92590,1021,1102,-81,2137,2281,-144,248,135,113,15,92493
E06000002,Middlesbrough,E,141233,1663,1396,267,5109,6737,-1628,990,395,595,-377,140090,1699,1374,325,5330,6601,-1271,930,629,301,-395,139050,1863,1463,400,5264,6049,-785,788,612,176,-390,138451,1857,1451,406,5367,5906,-539,1030,439,591,-392,138517,1919,1406,513,5173,6273,-1100,1389,740,649,-410,138169,1918,1405,513,5484,6380,-896,1301,479,822,-418,138190,1971,1350,621,5241,6554,-1313,1474,685,789,-402,137885,1887,1452,435,5185,6465,-1280,1271,557,714,-481,137273,2039,1364,675,5506,6277,-771,1532,564,968,-478,137667,2102,1282,820,5646,6360,-714,1924,758,1166,-571,138368,2023,1383,640,6006,6679,-673,1006,593,413,-4,138744,2037,1403,634,6016,7094,-1078,1051,433,618,21,138939,2003,1323,680,5821,6919,-1098,1197,623,574,24,139119,1953,1488,465,6184,7071,-887,1250,450,800,12,139509
E06000003,Redcar and Cleveland,E,139159,1336,1523,-187,3951,4259,-308,478,415,63,-207,138520,1409,1525,-116,4542,4079,463,365,440,-75,-227,138565,1508,1520,-12,4184,3820,364,321,385,-64,-210,138643,1514,1487,27,3645,3972,-327,373,296,77,-243,138177,1560,1411,149,3441,3809,-368,284,373,-89,-248,137621,1509,1480,29,3793,4276,-483,194,176,18,-245,136940,1580,1429,151,3695,3991,-296,227,255,-28,-255,136512,1510,1446,64,3406,3835,-429,248,233,15,-295,135867,1556,1315,241,3452,3896,-444,182,177,5,-286,135383,1641,1340,301,3476,3735,-259,347,309,38,-299,135164,1640,1380,260,3712,4179,-467,156,129,27,14,134998,1594,1463,131,3951,4171,-220,150,121,29,7,134945,1478,1316,162,3951,4067,-116,176,152,24,27,135042,1469,1549,-80,4214,4019,195,202,109,93,25,135275
E06000004,Stockton-on-Tees,E,183795,1938,1719,219,6269,5531,738,805,463,342,-154,184940,2072,1700,372,6181,5688,493,727,683,44,-150,185699,2165,1752,413,5893,5911,-18,535,689,-154,-253,185687,2167,1801,366,5957,5709,248,569,448,121,-72,186350,2248,1713,535,6176,5649,527,745,658,87,-229,187270,2359,1751,608,6226,6234,-8,733,422,311,-244,187937,2393,1667,726,6136,5684,452,792,671,121,-197,189039,2395,1733,662,6078,5804,274,744,551,193,-190,189978,2451,1602,849,6075,6126,-51,621,413,208,-82,190902,2488,1601,887,6180,6089,91,827,598,229,-285,191824,2470,1631,839,6261,6629,-368,668,627,41,70,192406,2462,1677,785,6347,6544,-197,746,574,172,30,193196,2295,1646,649,6390,6507,-117,942,704,238,153,194119,2361,1874,487,6442,6659,-217,994,557,437,-23,194803
E06000005,Darlington,E,97894,1102,1173,-71,3815,3521,294,209,252,-43,400,98474,1185,1048,137,3653,3657,-4,206,305,-99,403,98911,1175,1197,-22,3767,3683,84,219,296,-77,447,99343,1249,1110,139,3618,3449,169,389,173,216,420,100287,1273,1102,171,3740,3424,316,583,289,294,441,101509,1236,1057,179,3834,3672,162,543,185,358,424,102632,1332,1048,284,3862,3743,119,606,369,237,422,103694,1328,1115,213,3645,3708,-63,501,402,99,412,104355,1345,1014,331,3474,3528,-54,324,386,-62,458,105028,1317,1006,311,3484,3708,-224,326,319,7,462,105584,1337,1036,301,3565,3943,-378,252,559,-307,48,105248,1304,1078,226,3627,3653,-26,238,309,-71,19,105396,1225,1054,171,3780,3758,22,275,523,-248,26,105367,1234,1135,99,3743,3779,-36,347,407,-60,19,105389
E06000006,Halton,E,118559,1389,1230,159,3253,3678,-425,83,137,-54,549,118788,1379,1174,205,3404,3680,-276,110,168,-58,519,119178,1501,1184,317,3639,3569,70,103,257,-154,549,119960,1587,1218,369,3219,3421,-202,164,421,-257,526,120396,1674,1170,504,3246,3403,-157,346,363,-17,549,121275,1604,1156,448,3397,3615,-218,303,311,-8,543,122040,1657,1214,443,3268,3397,-129,264,263,1,552,122907,1590,1143,447,3106,3380,-274,205,207,-2,558,123636,1678,1062,616,3277,3330,-53,162,165,-3,606,124802,1586,1115,471,3096,3414,-318,271,205,66,701,125722,1592,1184,408,3437,3841,-404,190,236,-46,12,125692,1652,1233,419,3469,3569,-100,177,234,-57,16,125970,1552,1137,415,3758,3763,-5,218,244,-26,0,126354,1542,1240,302,3470,3646,-176,249,217,32,16,126528
E06000007,Warrington,E,191202,2149,1836,313,6517,6412,105,301,416,-115,110,191615,2163,1829,334,6586,6499,87,413,398,15,-64,191987,2266,1822,444,6385,6797,-412,481,402,79,-261,191837,2263,1807,456,6425,5932,493,795,519,276,-70,192992,2202,1838,364,6432,5943,489,1562,625,937,-179,194603,2309,1868,441,7215,6384,831,1344,655,689,-5,196559,2391,1865,526,6989,6205,784,1210,754,456,-138,198187,2510,1727,783,6645,5931,714,1059,674,385,-12,200057,2438,1747,691,6486,6109,377,977,630,347,-163,201309,2479,1740,739,6575,5930,645,939,652,287,-271,202709,2489,1802,687,6944,6800,144,813,686,127,-15,203652,2376,1944,432,6962,6301,661,932,640,292,72,205109,2391,1765,626,7195,6699,496,1012,882,130,67,206428,2350,2000,350,7127,6650,477,1175,722,453,-13,207695
E06000008,Blackburn with Darwen,E,138453,2126,1383,743,4792,5665,-873,976,242,734,481,139538,2133,1445,688,4896,5603,-707,653,219,434,476,140429,2142,1351,791,5083,5490,-407,373,267,106,499,141418,2233,1333,900,4626,5333,-707,494,441,53,481,142145,2295,1312,983,4497,5438,-941,985,540,445,478,143110,2321,1323,998,4626,5843,-1217,1377,810,567,484,143942,2355,1284,1071,4205,5404,-1199,1218,625,593,495,144902,2402,1310,1092,4451,5160,-709,1085,643,442,470,146197,2232,1254,978,4595,5679,-1084,897,497,400,475,146966,2311,1241,1070,4470,5551,-1081,856,585,271,431,147657,2382,1221,1161,4668,5797,-1129,677,650,27,-3,147713,2277,1234,1043,4499,5771,-1272,654,779,-125,10,147369,2190,1172,1018,4520,6055,-1535,659,784,-125,16,146743,2159,1277,882,4754,5631,-877,778,673,105,-7,146846
E06000009,Blackpool,E,142270,1417,2135,-718,9023,8333,690,330,460,-130,52,142164,1425,2025,-600,8922,8252,670,713,353,360,64,142658,1630,2077,-447,9159,8580,579,725,430,295,58,143143,1708,2007,-299,8089,7698,391,981,578,403,50,143688,1631,1937,-306,7946,7866,80,1002,773,229,42,143733,1674,1951,-277,8124,7993,131,1210,1167,43,14,143644,1733,1862,-129,7567,7777,-210,904,1339,-435,51,142921,1704,1811,-107,7451,7573,-122,845,977,-132,18,142578,1787,1836,-49,7611,7563,48,743,559,184,-8,142753,1682,1864,-182,7505,7744,-239,513,771,-258,6,142080,1811,1832,-21,8052,8240,-188,563,478,85,20,141976,1768,1853,-85,7916,8326,-410,416,512,-96,15,141400,1728,1746,-18,8109,8889,-780,530,634,-104,3,140501,1778,1954,-176,7480,8241,-761,565,561,4,10,139578
E06000010,"Kingston upon Hull, City of",E,249913,2814,2584,230,9009,10690,-1681,2714,1209,1505,-504,249463,2832,2712,120,9252,9788,-536,3029,1082,1947,-390,250604,3154,2630,524,9325,10029,-704,3890,803,3087,-462,253049,3195,2559,636,8862,10084,-1222,4590,1336,3254,-558,255159,3341,2616,725,9046,9956,-910,2844,1820,1024,-501,255497,3457,2526,931,8936,10841,-1905,3324,1652,1672,-434,255761,3643,2518,1125,8584,10519,-1935,3186,904,2282,-487,256746,3583,2483,1100,7837,10458,-2621,2564,1177,1387,-533,256079,3649,2342,1307,8167,10533,-2366,2382,770,1612,-458,256174,3784,2329,1455,7828,10413,-2585,2565,864,1701,-622,256123,3914,2372,1542,8749,10066,-1317,1955,1185,770,86,257204,3776,2419,1357,8324,10135,-1811,2109,1221,888,-49,257589,3622,2399,1223,8726,10345,-1619,2383,1843,540,-23,257710,3501,2628,873,8715,9815,-1100,2718,1467,1251,261,258995
