Date,Question,Asked_by,Response,URL,Coding,Location
21 November 2016,"To ask the Secretary of State for Defence, pursuant to the Answer of 26 July 2016 to Question 43260, what progress has been made on the development of Coalition policy on investigating civilian casualties.","Lucy PowellLabour/Co-operative, Manchester Central","While the Coalition continues to consider the need for a joint policy on investigating civilian casualties, the position remains as set out in my Answer of 26 July. The UK, as with other Coalition nations, will investigate allegations of civilian casualties according to its national methodology.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-11-15/52985/,Civilian Casualties,Global
21 November 2016,"To ask Her Majesty’s Government what legislation covers the use of drones in the UK by (1) security forces, (2) other public bodies, (3) commercial and voluntary organisations, and (4) individuals; and what assessment they have made of the need for new legislation to regulate the use of drones.",Lord GreavesLiberal Democrat,"The Government is working closely with the Civil Aviation Authority (CAA) and industry to adapt and strengthen UK regulations as drone use and the related technology develops.Small drones in the UK, those weighing 20kg or less, must be flown in accordance with Articles 94, 95 and 23 of the Air Navigation Order 2016 (ANO). Drones of more than 20kg are subject to all relevant provisions of the ANO. The ANO covers the use of drones by public bodies, commercial and voluntary organisations, and individuals, as well as the police and other security services. The use of drones in UK airspace by UK Armed Forces is regulated by the Military Aviation Authority.Drones of more than 150kg are also subject to European safety legislation, in particular, the European Aviation Safety Agency Basic Regulation 216/2008. This Regulation is currently being revised and updated.Lord Ahmad of WimbledonParliamentary Under-Secretary of State (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Lords/2016-11-07/HL3022/,Civil Use,UK
21 November 2016,"To ask the Secretary of State for Justice, how many drones carrying contraband goods have been seized within prison grounds in each of the last three years.","Luciana BergerLabour/Co-operative, Liverpool, Wavertree","We remain vigilant to all incidents involving drones and take the threat they pose to prison security very seriously. A range of methods to counter the threat posed by drones are being trialled and evaluated for their effectiveness across the prison estate.There were no reported incidents of drones carrying contraband being seized within prisons in 2013; in 2014 there were 2 reported incidents; and in 2015 there were 11 reported incidents. The Ministry of Justice intends to routinely publish information on prison drone incidents in the future. Data for 2016 onwards will be provided in due course as part of the normal publication schedule.Note: All figures have been drawn from live administrative data systems. Care is taken when processing and analysing the returns, but the detail collected is subject to the inaccuracies inherent in any large scale recording system.Sam GyimahThe Parliamentary Under-Secretary of State for Justice",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-11-16/53443/,Civil Use,UK
21 November 2016,"To ask the Secretary of State for Transport, with reference to the Answer of 27 May 2016 to Question 38311, what the outcome was of the Government&#039;s consultation on measures to regulate the use of drones.","Lucy PowellLabour/Co-operative, Manchester Central","Government believes we currently have a robust framework that balances penalties with commercial permissions. However, we recognise that this framework needs to keep pace with the emerging market. We continue to develop proposals which we will put forward in the near future.John HayesMinister of State (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-11-15/52973/,Civil Use,UK
14 November 2016,To ask Her Majesty’s Government what discussions have they had with the government of Israel regarding Israel&#039;s regulations for operating drones in the Gaza Strip and West Bank.,Baroness TongeIndependent Liberal Democrat,We have not had any discussions with the Israeli authorities over the use of drones over the Gaza Strip and the West Bank.Baroness Anelay of St JohnsMinister of State,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Lords/2016-10-31/HL2847/,Military,Israel
9 November 2016,"To ask the Secretary of State for Defence, with reference to the Government&#039;s Response to the Joint Committee on Human Rights Second Report of Session 2015-16, what recent assessment his Department has made of the legal principles of (a) international and (b) domestic law that apply to the use of lethal force outside the scope of armed conflict.","Catherine West, Labour, Hornsey and Wood Green",The Government&#039;s assessment of the relevant legal principles remain as set out in its response to the Joint Committee on Human Rights Second Report of Session 2015-16 which was provided to the Committee on 7 September 2016.Michael FallonSecretary of State for Defence,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-11-01/51425/,Law,Global
9 November 2016,"To ask the Secretary of State for Defence, with reference to the Government&#039;s Response to the Joint Committee on Human Rights Second Report of Session 2015-16, what recent discussions his Department has had with their (a) US and (b) European counterparts on international law on the use of force and the law of armed conflict.","Catherine West, Labour, Hornsey and Wood Green",We have frequent discussions with US and European counterparts on international law on the use of force and the law of armed conflict.Michael FallonSecretary of State for Defence,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-11-01/51426/,Law,Global
3 November 2016,"To ask the Secretary of State for Transport, whether he plans to include provisions on the regulation of drones in the Modern Transport Bill; and if he will make a statement.","Richard Burden, Labour, Birmingham Northfield",We have a robust regulatory framework for drones to ensure the safety and security of our citizens. We continue to work closely with the CAA and industry to adapt and strengthen these regulations as drone use and the technology evolves. The detailed content for the Modern Transport Bill is currently being considered.John HayesMinister of State (Department for Transport),http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-31/51177/,Civil Use,UK
31 October 2016,"To ask the Secretary of State for Defence, whether pilots who are in control of armed Reaper drones conducting operations overseas are (a) engaged in armed conflict and (b) regulated by the laws of war.","Kirsten Oswald, SNP, East Renfrewshire","Whether UK pilots in control of Reaper unmanned aerial system conducting operations overseas are engaged in an armed conflict depends on the type of operation the pilots are undertaking. UK military personnel who are using force on overseas operations will do so in accordance with the laws of war (also known as the Law of Armed Conflict/International Humanitarian Law).Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-24/49991/,War Powers Convention,UK
31 October 2016,"To ask the Secretary of State for Defence, whether armed Reaper drones engaged in operations overseas are part of the armed forces for the purposes of the Armed Forces Act 2006.","Kirsten Oswald, SNP, East Renfrewshire","Reapers (whether armed or not) are remotely piloted aircraft and, as such, they cannot themselves be &quot;armed forces&quot; for the purposes of the Armed Forces Act 2006 but those who pilot them on operations overseas will be.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-24/49990/,War Powers Convention,UK
