id,location,lat,lon,deads,country,more
1,Deir Ez-Zor: Sa'alu,35.141173,40.363297,1,Syria,Deir Ez-Zor: Sa'alu
2,Darkoush,35.9916361,36.3938856,0,Syria,Darkoush
3,Tall Afar,36.375659,42.451536,109,Iraq,Tall Afar
4,Madan - Al Akershi road,35.789685,39.36723,4,Syria,Madan - Al Akershi road
5,Tall Tamr,36.65556,40.37079,1,Syria,Tall Tamr
6,Al Hamam,35.90036,38.74763,3,Syria,Al Hamam
7,Sawran,36.26343,37.37414,3,Syria,Sawran
8,Ar Raqqah: al Bayatra,35.951121,39.011357,1,Syria,Ar Raqqah: al Bayatra
9,Ar Raqqah: Al Bayatra,35.9475,39.010833,2,Syria,Ar Raqqah: Al Bayatra
10,Mosul: junction of Al Farouq and Al Makkawi streets,36.345194,43.12475,2,Iraq,Mosul: junction of Al Farouq and Al Makkawi streets
11,Sawa,35.53226,39.96322,5,Syria,Sawa
12,Kasrat Mohhamed Ali,35.883889,39.023333,1,Syria,Kasrat Mohhamed Ali
13,Mosul: Rifae,36.3558497,43.0937862,13,Iraq,Mosul: Rifae
14,Ar Raqqah: National Hospital and vicinity of the Naim roundabout and Al-Amasi Street ,35.95447,39.009392,2,Syria,Ar Raqqah: National Hospital and vicinity of the Naim roundabout and Al-Amasi Street 
15,Bokrus Tahtani,35.07028,40.41959,2,Syria,Bokrus Tahtani
16,Al Salhiya [exact location],34.7251951,40.7404912,2,Syria,Al Salhiya [exact location]
17,Mosul: New Bab/ Farouk,36.3431411,43.1257262,55,Iraq,Mosul: New Bab/ Farouk
18,Mosul: Rifai,36.3558497,43.0937862,53,Iraq,Mosul: Rifai
19,Ar Raqqah: Feb 23 Street,35.950056,39.019892,1,Syria,Ar Raqqah: Feb 23 Street
20,Al Hammadi,35.99523,41.138306,2,Syria,Al Hammadi
21,Al Dasheisha,35.7858464,40.8256812,19,Syria,Al Dasheisha
22,Mosul: West ,36.336843,43.117979,5,Iraq,Mosul: West 
23,Adnaniya,36.015556,38.885556,1,Syria,Adnaniya
24,Tabaqah: al Thani,35.846667,38.543889,9,Syria,Tabaqah: al Thani
25,Al Bu A'ssi ,35.78392,38.32796,2,Syria,Al Bu A'ssi 
26,"Shanina (and al Rihat, Ba’as and Abu Hassan)",36.0089089,39.0964794,7,Syria,"Shanina (and al Rihat, Ba’as and Abu Hassan)"
27,Tabaqah: Multiple locations,35.8295049,38.5360909,5,Syria,Tabaqah: Multiple locations
28,Sarmada,36.18553,36.72231,7,Syria,Sarmada
29,Ayyash,35.42022,40.05303,1,Syria,Ayyash
30,Mosul: Dajah,36.34075,43.126911,12,Iraq,Mosul: Dajah
31,Mosul: Zanjili,36.3502851,43.1098795,144,Iraq,Mosul: Zanjili
32,Tabiyeh Shamieh,35.2508364,40.2988037,5,Syria,Tabiyeh Shamieh
33,Umm Hfour,36.191,40.61207,4,Syria,Umm Hfour
34,Tikrit,34.5898131,43.6816651,12,Iraq,Tikrit
35,Al Shmeitiya,35.471226,39.935818,2,Syria,Al Shmeitiya
36,Mosul: Al-Darkazliyah,36.3556423,43.1564856,2,Iraq,Mosul: Al-Darkazliyah
37,Mosul: Al Saaha,36.34075,43.126911,6,Iraq,Mosul: Al Saaha
38,Mosul: Yarmouk,36.336804,43.083396,60,Iraq,Mosul: Yarmouk
39,Al Sa'ada,35.6627357,40.7212543,3,Syria,Al Sa'ada
40,Ar Raqqah: Al Dar'ia,35.947222,38.991389,3,Syria,Ar Raqqah: Al Dar'ia
41,Ziban,35.0108763,40.5045318,4,Syria,Ziban
42,Ar Raqqah: Qitar street,35.9505639,39.0094148,7,Syria,Ar Raqqah: Qitar street
43,Sweidah Sagheer,35.9208912,38.5709381,17,Syria,Sweidah Sagheer
44,Mosul: Matahin,36.336294,43.092985,3,Iraq,Mosul: Matahin
45,Road from Al Mayadin to Damascus,34.634488,38.589772,1,Syria,Road from Al Mayadin to Damascus
46,Al Hawl,36.390223,41.149297,45,Syria,Al Hawl
47,"Ar Raqqah: Bajari, old town",35.948056,39.015,1,Syria,"Ar Raqqah: Bajari, old town"
48,Mosul: Al-Jawsaq,36.3280482,43.1503701,15,Iraq,Mosul: Al-Jawsaq
49,Ar Raqqah: Al Akrad,35.9630019,39.0146828,1,Syria,Ar Raqqah: Al Akrad
50,Ar Raqqah: Al Jisr al Jadid,35.9320812,38.9918947,5,Syria,Ar Raqqah: Al Jisr al Jadid
51,Telul al-Baj,35.4153809,43.1128084,2,Iraq,Telul al-Baj
52,Mosul: Baweiza,36.34585235,43.09857692,1,Iraq,Mosul: Baweiza
53,"Ar Raqqah: Wahda, Nahda and Bedu areas",35.959563,39.002259,14,Syria,"Ar Raqqah: Wahda, Nahda and Bedu areas"
54,Mosul: Itkisadeen/ Economist,36.3615868,43.085289,1,Iraq,Mosul: Itkisadeen/ Economist
