refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
318,E14000752,Hornsey and Wood Green,0.1848122852,0.2498291003,0.2498291003,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.06501681512,-0.001721662223
590,E14001008,Vauxhall,0.1927288176,0.2242839619,0.2242839619,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.03155514435,
229,S14000023,Edinburgh North and Leith,0.1941454782,0.2179552346,0.2179552346,,Scotland,0.02380975636,
102,E14000602,Bristol West,0.2040519927,0.2071150843,0.2071150843,http://www.bbc.co.uk/news/uk-politics-38762034,South West,0.003063091605,
280,E14000720,Hackney North and Stoke Newington,0.2094955837,NA,0.2094955837,,London,,
206,E14000673,Dulwich and West Norwood,0.2205254119,NA,0.2205254119,,London,,
281,E14000721,Hackney South and Shoreditch,0.221796833,NA,0.221796833,,London,,
544,E14000978,Streatham,0.2241244158,0.2053967406,0.2053967406,http://www.bbc.co.uk/news/uk-politics-38762034,London,-0.01872767524,
38,E14000549,Battersea,0.2303755679,NA,0.2303755679,,London,,
290,E14000727,Hampstead and Kilburn,0.234826777,NA,0.234826777,,London,,
334,E14000763,Islington North,0.2350021222,0.2161112362,0.2161112362,http://www.bbc.co.uk/news/uk-politics-38762034,London,-0.01889088599,
230,S14000024,Edinburgh South,0.2361405799,0.2215338737,0.2215338737,,Scotland,-0.01460670619,
363,E14000789,"Lewisham, Deptford",0.2466929651,NA,0.2466929651,,London,,
574,E14000998,Tooting,0.2532017438,NA,0.2532017438,,London,,
98,E14000598,"Brighton, Pavilion",0.2567763142,NA,0.2567763142,,South East,,
469,S14000021,East Renfrewshire,0.2568141894,0.2568141894,0.2568141894,,Scotland,0,
335,E14000764,Islington South and Finsbury,0.2613699424,0.2828310011,0.2828310011,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.02146105869,
389,E14000809,"Manchester, Withington",0.2630734275,NA,0.2630734275,,North West,,
